CodTienda,Descripcion,Direccion,Localidad,Provincia,CP,TipoTienda
1,Tienda Premium Outlet Plus,Calle Central 463,Capital City,Illinois,64016,Outlet
2,Tienda Este Online Pro,Bulevar Nueva 83,New York,New York,45526,Online
3,Tienda Premium Sucursal Plus,Ruta Nueva 919,Silver City,Illinois,66292,Sucursal
4,Tienda Norte Sucursal Max,Avenida Central 385,Shelbyville,Illinois,94825,Sucursal
5,Tienda Premium Express Max,Avenida Secundaria 887,Raccoon City,Illinois,29816,Express
6,Tienda Premium Outlet Max,Avenida Secundaria 572,Sevastopol,Alaska,18797,Outlet
7,Tienda Norte Outlet Max,Bulevar Secundaria 463,New York,New York,79073,Outlet
8,Tienda Sur Online Pro,Bulevar Nueva 952,New York,New York,87805,Online
9,Tienda Norte Online Plus,Calle Vieja 415,Gotham City,New Jersey,90640,Online
10,Tienda Oeste Express,Ruta Secundaria 662,Raccoon City,Illinois,46342,Express
11,Tienda Premium Sucursal Max,Bulevar Nueva 357,Shelbyville,Illinois,22174,Sucursal
12,Tienda Norte Express,Avenida Principal 367,Springfield,Illinois,89132,Express
13,Tienda Norte Sucursal Plus,Ruta Vieja 25,Scranton,Pennsylvania,61095,Sucursal
14,Tienda Central Express Pro,Ruta Nueva 984,Gotham City,New Jersey,57015,Express
15,Tienda Este Outlet Express,Bulevar Nueva 453,Capital City,Illinois,66631,Outlet
